Variable,Type,Param,StartTime,EndTime,startdate,enddate
SO,drift,,399.8,400.75,2024-02-04 19:12:00,2024-02-05 18:00:00
SO,spike,,477.0,479.0,2024-04-22 00:00:00,2024-04-24 00:00:00
SO,scaling,,499.0,502.0,2024-05-14 00:00:00,2024-05-17 00:00:00
SO,scaling,,502.0,503.45,2024-05-17 00:00:00,2024-05-18 10:48:00
SO,spike,,577.0,578.2,2024-07-31 00:00:00,2024-08-01 04:48:00
SO,spike,,522.0,522.9,2024-06-06 00:00:00,2024-06-06 21:36:00
SO,bias,,488.0,490.7,2024-05-03 00:00:00,2024-05-05 16:48:00
SO,scaling,,603.2,604.0,2024-08-26 04:48:00,2024-08-27 00:00:00
Temperature,bias,,369.75,371.25,2024-01-05 18:00:00,2024-01-07 06:00:00
Temperature,drift,,403.7,404.9,2024-02-08 16:48:00,2024-02-09 21:36:00
Temperature,drift,,404.95,406.1,2024-02-09 22:48:00,2024-02-11 02:24:00
Temperature,spike,,477.25,479.45,2024-04-22 06:00:00,2024-04-24 10:48:00
Temperature,scaling,,504.45,507.5,2024-05-19 10:48:00,2024-05-22 12:00:00
Temperature,spike,,529.0,531.45,2024-06-13 00:00:00,2024-06-15 10:48:00
Temperature,spike,,549.0,551.0,2024-07-03 00:00:00,2024-07-05 00:00:00
Temperature,scaling,,577.95,579.2,2024-07-31 22:48:00,2024-08-02 04:48:00
Temperature,scaling,,580.4,581.7,2024-08-03 09:36:00,2024-08-04 16:48:00
Temperature,scaling,,602.0,606.4,2024-08-25 00:00:00,2024-08-29 09:36:00
SS,bias,,377.75,379.25,2024-01-13 18:00:00,2024-01-15 06:00:00
SS,drift,,444.7,446.9,2024-03-20 16:48:00,2024-03-22 21:36:00
SS,spike,,479.2,481.2,2024-04-24 04:48:00,2024-04-26 04:48:00
SS,spike,,512.25,513.45,2024-05-27 06:00:00,2024-05-28 10:48:00
SS,scaling,,534.5,536.5,2024-06-18 12:00:00,2024-06-20 12:00:00
SS,scaling,,536.6,537.9,2024-06-20 14:24:00,2024-06-21 21:36:00
SS,spike,,550.0,551.4,2024-07-04 00:00:00,2024-07-05 09:36:00
SS,scaling,,576.75,577.0,2024-07-30 18:00:00,2024-07-31 00:00:00
SS,scaling,,593.4,594.7,2024-08-16 09:36:00,2024-08-17 16:48:00
SS,scaling,,594.8,598.4,2024-08-17 19:12:00,2024-08-21 09:36:00
FlowRate,bias,,367.75,369.25,2024-01-03 18:00:00,2024-01-05 06:00:00
FlowRate,drift,,378.7,379.9,2024-01-14 16:48:00,2024-01-15 21:36:00
FlowRate,drift,,389.2,392.2,2024-01-25 04:48:00,2024-01-28 04:48:00
FlowRate,spike,,417.25,419.45,2024-02-22 06:00:00,2024-02-24 10:48:00
FlowRate,scaling,,465.5,466.5,2024-04-10 12:00:00,2024-04-11 12:00:00
FlowRate,scaling,,466.6,469.45,2024-04-11 14:24:00,2024-04-14 10:48:00
FlowRate,spike,,499.0,501.4,2024-05-14 00:00:00,2024-05-16 09:36:00
FlowRate,scaling,,504.75,506.0,2024-05-19 18:00:00,2024-05-21 00:00:00
FlowRate,scaling,,522.4,522.9,2024-06-06 09:36:00,2024-06-06 21:36:00
FlowRate,spike,,599.0,604.4,2024-08-22 00:00:00,2024-08-27 09:36:00
